cx,cy,cz,nx,ny,nz,valid_frac,score,periodic_cover,periodic_period_mm,periodic_straightness,band_score
-23.33606,74.98662,-5.06607,-0.89164,0.01984,-0.4523,0.93607,0.0,0.0,nan,0.0,0.01212
-23.51145,74.96696,-2.9769,-0.99935,-0.01477,0.03275,0.99774,0.0,0.0,nan,0.0,0.00934
-23.1869,74.99728,-1.01967,-0.98492,-0.03351,0.16972,1.00012,0.0,0.0,nan,0.0,0.01489
-22.91491,74.97221,0.98678,-0.94103,0.04458,0.33538,0.99218,0.0,0.0,nan,0.0,0.02189
-22.27489,74.965,2.37159,-0.78924,0.18003,0.5871,0.95524,0.0,0.0,nan,0.0,0.00667
-22.43709,76.98438,-6.38708,-0.61989,0.15645,-0.76894,0.88105,0.0,0.0,nan,0.0,0.01056
-23.32405,77.02538,-5.08479,-0.87117,0.13862,-0.471,0.90469,0.0,0.0,nan,0.0,0.01155
-23.65515,76.99935,-3.06522,-0.9983,0.05529,-0.01868,0.96864,0.0,0.0,nan,0.0,0.02646
-23.33374,77.00529,-0.96786,-0.96629,0.08847,0.24178,0.98632,0.0,0.0,nan,0.0,0.02303
-22.81373,77.04513,1.03014,-0.80935,0.27329,0.51988,0.9172,0.0,0.0,nan,0.0,0.01349
-22.18528,76.49559,2.19187,-0.68386,0.32653,0.65247,0.91879,0.0,0.0,nan,0.0,0.00465
-22.22659,78.24372,-6.18692,-0.53117,0.45349,-0.71569,0.81124,0.0,0.0,nan,0.0,0.00628
-23.00208,78.87619,-4.97589,-0.65545,0.61361,-0.44031,0.77072,0.0,0.0,nan,0.0,0.01798
-23.34384,79.30515,-3.12568,-0.72343,0.68589,-0.07884,0.75612,0.0,0.0,nan,0.0,0.01773
-22.96295,79.06051,-0.9679,-0.72103,0.63444,0.27858,0.83279,0.0,0.0,nan,0.0,0.01622
-22.40921,78.52129,0.55692,-0.60116,0.58686,0.5424,0.85712,0.0,0.0,nan,0.0,0.02138
-20.67733,1.67064,-2.43625,-0.52276,-0.71373,-0.46617,0.79168,0.0,0.0,nan,0.0,0.00907
-21.06066,1.47367,-0.93176,-0.48072,-0.87415,0.06901,0.71432,0.0,0.0,nan,0.0,0.00863
-20.42431,1.91708,0.15298,-0.36787,-0.77789,0.50947,0.82097,0.0,0.0,nan,0.0,0.00881
-21.06157,3.00167,-2.80949,-0.73251,-0.33023,-0.5953,0.88731,0.0,0.0,nan,0.0,0.0105
-21.86443,3.30862,-1.5692,-0.91712,-0.23037,-0.32531,0.80181,0.0,0.0,nan,0.0,0.01587
-21.05654,2.89075,0.93907,-0.43878,-0.48568,0.75603,0.82633,0.0,0.0,nan,0.0,0.00565
-20.54813,4.99054,-4.76766,-0.76969,-0.0736,-0.63416,0.87341,0.0,0.0,nan,0.0,0.00651
-20.923,4.96441,-3.05528,-0.85577,0.01862,-0.51703,0.98562,0.0,0.0,nan,0.0,0.00674
-21.74786,5.02371,-1.28253,-0.96385,0.07057,-0.25691,0.96328,0.0,0.0,nan,0.0,0.01012
-20.85787,4.80641,1.45262,-0.51285,-0.44779,0.73244,0.92008,0.0,0.0,nan,0.0,0.012
-20.92656,5.76734,2.45162,-0.43904,-0.5515,0.70929,0.94272,0.0,0.0,nan,0.0,0.00844
-20.08912,6.12931,-4.27666,-0.78595,0.14282,-0.60157,0.97301,0.0,0.0,nan,0.0,0.0037
-20.575,6.92078,-2.88206,-0.84243,0.20051,-0.50011,0.99893,0.0,0.0,nan,0.0,0.03048
-21.45392,6.9719,-1.00956,-0.89486,0.05917,-0.44241,1.00112,0.0,0.0,nan,0.0,0.01383
-21.96716,7.67582,0.05229,-0.95058,-0.0177,-0.30998,0.97738,0.0,0.0,nan,0.0,0.0119
-21.16833,6.85766,3.35275,-0.46469,-0.38776,0.79606,0.89446,0.0,0.0,nan,0.0,0.01052
-20.34348,7.58401,4.19132,-0.37366,-0.24699,0.89408,0.92524,0.0,0.0,nan,0.0,0.00789
-20.48307,8.903,-2.592,-0.78112,0.14533,-0.60723,1.00042,0.0,0.0,nan,0.0,0.01401
-21.56939,9.0029,-1.11861,-0.84396,0.04458,-0.53455,1.00082,0.0,0.0,nan,0.0,0.01828
-21.95829,8.21413,0.07852,-0.9369,0.0005,-0.3496,0.98701,0.0,0.0,nan,0.0,0.00919
-21.1048,9.05789,3.74885,-0.52476,-0.12552,0.84195,0.96467,0.0,0.0,nan,0.0,0.00627
-20.40524,8.6107,4.35783,-0.4052,-0.15917,0.90027,0.96765,0.0,0.0,nan,0.0,0.00645
-20.30046,10.73342,-2.27736,-0.75925,0.1187,-0.63989,1.00002,0.0,0.0,nan,0.0,0.00417
-21.35815,11.03518,-1.23854,-0.76948,0.07911,-0.63375,0.99913,0.0,0.0,nan,0.0,0.01822
-21.19266,10.85284,3.70642,-0.61703,-0.23509,0.751,0.99079,0.0,0.0,nan,0.0,0.00458
-20.69963,11.63135,4.48814,-0.54223,-0.33099,0.77229,0.99228,0.0,0.0,nan,0.0,0.00777
-20.21914,13.33179,-2.39115,-0.74028,0.02316,-0.6719,1.00042,0.0,0.0,nan,0.0,0.01094
-21.10633,13.06304,-1.07735,-0.78044,0.03504,-0.62425,1.00082,0.0,0.0,nan,0.0,0.00909
-21.87499,13.8307,0.05796,-0.82945,0.02907,-0.55782,0.99526,0.0,0.0,nan,0.0,0.01392
-21.96628,12.27288,3.93599,-0.73069,-0.2554,0.63314,0.95623,0.0,0.0,nan,0.0,0.00389
